zip_code,county,median_income
5346,Windham,70900
5350,Bennington,69900
5351,Windham,70900
5352,Bennington,69900
5353,Windham,70900
5354,Windham,70900
5355,Windham,70900
5356,Windham,70900
5357,Windham,70900
5358,Windham,70900
5359,Windham,70900
5360,Windham,70900
5361,Windham,70900
5362,Windham,70900
5363,Windham,70900
5401,Chittenden,89700
5402,Chittenden,89700
5403,Chittenden,89700
5404,Chittenden,89700
5405,Chittenden,89700
5406,Chittenden,89700
5407,Chittenden,89700
5408,Chittenden,89700
5439,Chittenden,89700
5440,Grand Isle,89700
5441,Franklin,89700
5442,Lamoille,71800
5443,Addison,80700
5444,Chittenden,89700
5445,Chittenden,89700
5446,Chittenden,89700
5447,Franklin,89700
5448,Franklin,89700
5449,Chittenden,89700
5450,Franklin,89700
5451,Chittenden,89700
5452,Chittenden,89700
5453,Chittenden,89700
5454,Chittenden,89700
5455,Franklin,89700
5456,Addison,80700
5457,Franklin,89700
5458,Grand Isle,89700
5459,Franklin,89700
5460,Franklin,89700
5461,Chittenden,89700
5462,Chittenden,89700
5463,Grand Isle,89700
5464,Lamoille,71800
5465,Chittenden,89700
5466,Chittenden,89700
5468,Chittenden,89700
5469,Addison,80700
5470,Franklin,89700
5471,Franklin,89700
5472,Addison,80700
5473,Addison,80700
5474,Grand Isle,89700
5476,Franklin,89700
5477,Chittenden,89700
5478,Franklin,89700
5479,Franklin,89700
5481,Franklin,89700
5482,Chittenden,89700
5483,Franklin,89700
5485,Franklin,89700
5486,Grand Isle,89700
5487,Addison,80700
5488,Franklin,89700
5489,Chittenden,89700
5490,Chittenden,89700
5491,Addison,80700
5492,Lamoille,71800
5494,Chittenden,89700
5495,Chittenden,89700
5601,Washington,80300
5602,Washington,80300
5603,Washington,80300
5604,Washington,80300
5609,Washington,80300
5620,Washington,80300
5633,Washington,80300
5640,Washington,80300
5641,Washington,80300
5647,Washington,80300
5648,Washington,80300
5649,Washington,80300
5650,Washington,80300
5651,Washington,80300
5652,Lamoille,71800
5653,Lamoille,71800
5654,Washington,80300
5655,Lamoille,71800
5656,Lamoille,71800
5657,Lamoille,71800
5658,Washington,80300
5660,Washington,80300
5661,Lamoille,71800
5662,Lamoille,71800
5663,Washington,80300
5664,Washington,80300
5665,Lamoille,71800
5666,Washington,80300
5667,Washington,80300
5669,Addison,80700
5670,Washington,80300
5671,Washington,80300
5672,Lamoille,71800
5673,Washington,80300
5674,Washington,80300
5675,Orange,74400
5676,Washington,80300
5677,Washington,80300
5678,Washington,80300
5679,Orange,74400
5680,Lamoille,71800
5681,Washington,80300
5682,Washington,80300
5701,Rutland,71500
5702,Rutland,71500
5730,Rutland,71500
5731,Rutland,71500
5732,Rutland,71500
5733,Rutland,71500
5734,Addison,80700
5735,Rutland,71500
5736,Rutland,71500
5737,Rutland,71500
5738,Rutland,71500
5739,Rutland,71500
5740,Addison,80700
5741,Rutland,71500
5742,Rutland,71500
5743,Rutland,71500
5744,Rutland,71500
5745,Rutland,71500
5746,Windsor,79300
5747,Addison,80700
5748,Addison,80700
5750,Rutland,71500
5751,Rutland,71500
5753,Addison,80700
5757,Rutland,71500
5758,Rutland,71500
5759,Rutland,71500
5760,Addison,80700
5761,Rutland,71500
5762,Rutland,71500
5763,Rutland,71500
5764,Rutland,71500
5765,Rutland,71500
5766,Addison,80700
5767,Windsor,79300
5768,Bennington,69900
5769,Addison,80700
5770,Addison,80700
5772,Windsor,79300
5773,Rutland,71500
5774,Rutland,71500
5775,Rutland,71500
5776,Bennington,69900
5777,Rutland,71500
5778,Addison,80700
5819,Caledonia,66600
5820,Orleans,59800
5821,Caledonia,66600
5822,Orleans,59800
5823,Orleans,59800
5824,Essex,51500
5825,Orleans,59800
5826,Orleans,59800
5827,Orleans,59800
5828,Caledonia,66600
5829,Orleans,59800
5830,Orleans,59800
5832,Caledonia,66600
5833,Orleans,59800
5836,Caledonia,66600
5837,Essex,51500
5838,Caledonia,66600
5839,Orleans,59800
5840,Essex,51500
5841,Orleans,59800
5842,Orleans,59800
5843,Caledonia,66600
5845,Orleans,59800
5846,Essex,51500
5847,Orleans,59800
5848,Caledonia,66600
5849,Caledonia,66600
5850,Caledonia,66600
5851,Caledonia,66600
5853,Orleans,59800
5855,Orleans,59800
5857,Orleans,59800
5858,Essex,51500
5859,Orleans,59800
5860,Orleans,59800
5861,Caledonia,66600
5862,Caledonia,66600
5863,Caledonia,66600
5866,Caledonia,66600
5867,Caledonia,66600
5868,Orleans,59800
5871,Caledonia,66600
5872,Orleans,59800
5873,Caledonia,66600
5874,Orleans,59800
5875,Orleans,59800
5901,Essex,51500
5902,Essex,51500
5903,Essex,51500
5904,Essex,51500
5905,Essex,51500
5906,Essex,51500
5907,Essex,51500
